Connect;Database;DateCreate;DateUpdate;Flags;ForeignName;Id;Lv;LvExtra;LvModule;LvProp;Name;Owner;ParentId;RmtInfoLong;RmtInfoShort;Type
;;28-Jun-24;13-Mar-25;0;;187576;;;;;interf_poc;;251658241;;;1
;;22-May-24;13-Mar-25;0;;187579;;;;;isl_param;;251658241;;;1
;;28-Feb-00;13-Mar-25;0;;187582;;;;;link_epm;;251658241;;;1
;;24-Aug-12;13-Mar-25;0;;187585;;;;;mask_info;;251658241;;;1
;;28-Jun-24;13-Mar-25;0;;187591;;;;;mask_lnk1;;251658241;;;1
;;28-Jun-24;13-Mar-25;0;;187598;;;;;mask_lnk2;;251658241;;;1
;;29-Mar-22;13-Mar-25;0;;187605;;;;;mask_lnk3;;251658241;;;1
;;08-Mar-10;08-Mar-10;10;;227688;;;;;MSysAccessStorage;;251658241;;;1
;;03-Oct-05;03-Oct-05;2;;227700;;;;;MSysAccessXML;;251658241;;;1
;;14-May-98;08-May-16;2;;227705;;;;;MSysIMEXColumns;;251658241;;;1
;;14-May-98;08-Dec-98;2;;227710;;;;;MSysIMEXSpecs;;251658241;;;1
;;18-Feb-00;18-Feb-00;2;;227714;;;;;MSysModules2;;251658241;;;1
;;11-Jun-09;11-Jun-09;10;;227733;;;;;MSysNavPaneGroupCategories;;251658241;;;1
;;11-Jun-09;11-Jun-09;10;;227747;;;;;MSysNavPaneGroups;;251658241;;;1
;;11-Jun-09;11-Jun-09;10;;227752;;;;;MSysNavPaneGroupToObjects;;251658241;;;1
;;11-Jun-09;11-Jun-09;10;;227758;;;;;MSysNavPaneObjectIDs;;251658241;;;1
;;22-May-24;13-Mar-25;0;;227762;;;;;ngeo_diag_grp;;251658241;;;1
;;25-Sep-98;13-Mar-25;0;;228728;;;;;ngma;;251658241;;;1
;;22-May-24;13-Mar-25;0;;229341;;;;;non_geo;;251658241;;;1
;;22-May-24;13-Mar-25;0;;229537;;;;;notice;;251658241;;;1
;;22-May-24;13-Mar-25;0;;230456;;;;;ntc_commit;;251658241;;;1
;;12-Feb-01;13-Mar-25;0;;230544;;;;;ntc_lnk;;251658241;;;1
;;19-Oct-04;13-Mar-25;0;;230593;;;;;ntc_lnk_ref;;251658241;;;1
;;14-May-98;13-Mar-25;0;;230597;;;;;ntc_memo;;251658241;;;1
;;13-Jul-24;13-Mar-25;0;;230619;;;;;ntc_tmp;;251658241;;;1
;;22-May-24;13-Mar-25;0;;230623;;;;;orbit;;251658241;;;1
;;22-May-24;13-Mar-25;0;;234896;;;;;orbit_set;;251658241;;;1
